idCompra;idCompraItem;idContratacaoPNCP;orgaoEntidadeCnpj;descricaoResumida;descricaodetalhada;materialOuServico;codItemCatalogo;unidadeMedida;quantidade;valorUnitarioEstimado;valorTotal;valorUnitarioResultado;valorTotalResultado;quantidadeResultado;codFornecedor;nomeFornecedor;dataInclusaoPncp;dataAtualizacaoPncp
C-2024-000001;I-2024-000001;29477000000180-1-2024-000001;29477000000180;Papel A4;PAPEL SULFITE A4 75G RESMA 500 FOLHAS;M;123456;UN;10;5.00;50.00;5.00;50.00;10;11222333000181;PAPELARIA NOVA LTDA;2024-03-15;2024-03-15
C-2024-000001;I-2024-000002;29477000000180-1-2024-000001;29477000000180;Caneta;caneta esferografica azul;M;;UN;10;5.00;40.00;5.00;40.00;10;44555666000172;FINANCEIRA EXEMPLO SA;2024-03-15;2024-03-15
C-2024-000001;I-2024-000003;29477000000180-1-2024-000001;29477000000180;Servico avulso;servico avulso eventual;S;;UN;1;10.00;10.00;10.00;10.00;1;12345678901;PESSOA FISICA;2024-03-15;2024-03-15
C-2024-000002;I-2024-000004;29477000000180-1-2024-000002;29477000000180;Caneta;CANETA ESFEROGRAFICA AZUL;M;654321;CX;500;50.00;25000.00;50.00;25000.00;500;44555666000172;FINANCEIRA EXEMPLO SA;2024-04-01;2024-04-01
C-2024-000003;I-2024-000005;29477000000180-1-2024-000003;29477000000180;Caneta;CANETA ESFEROGRAFICA AZUL;M;654321;CX;500;50.00;25000.00;50.00;25000.00;500;44555666000172;FINANCEIRA EXEMPLO SA;2024-05-01;2024-05-01
C-2024-000004;I-2024-000006;29477000000180-1-2024-000004;29477000000180;Caneta;CANETA ESFEROGRAFICA AZUL;M;654321;CX;500;50.00;25000.00;50.00;25000.00;500;44555666000172;FINANCEIRA EXEMPLO SA;2024-06-01;2024-06-01
C-2024-000005;I-2024-000007;28521748000159-1-2024-000001;28521748000159;Detergente;DETERGENTE NEUTRO CONCENTRADO 5L;M;123456;UN;8;15.00;120.00;15.00;120.00;8;11222333000181;PAPELARIA NOVA LTDA;2024-03-20;2024-03-20
C-2024-000006;I-2024-000008;46137410000180-1-2024-000001;46137410000180;Papel A4;PAPEL SULFITE A4 75G RESMA 500 FOLHAS;M;123456;UN;16;5.00;80.00;5.00;80.00;16;11222333000181;PAPELARIA NOVA LTDA;2024-04-12;2024-04-12
C-2024-000001;I-2024-000009;29477000000180-1-2024-000001;29477000000180;Arroz;ARROZ BRANCO TIPO 1;M;463210;KG;20;4.85;97.00;4.85;97.00;20;11222333000181;PAPELARIA NOVA LTDA;2024-03-15;2024-03-15
C-2024-000001;I-2024-000010;29477000000180-1-2024-000001;29477000000180;Acucar;ACUCAR REFINADO;M;;G;1000;0.01;10.00;0.01;10.00;1000;11222333000181;PAPELARIA NOVA LTDA;2024-03-15;2024-03-15
C-2024-000001;I-2024-000011;29477000000180-1-2024-000001;29477000000180;Lote avulso;LOTE AVULSO SEM UNIDADE CONHECIDA;M;;FOOBAR;1;100.00;100.00;100.00;100.00;1;11222333000181;PAPELARIA NOVA LTDA;2024-03-15;2024-03-15
98859905903202024;9885990590320202400001;88830609000139-1-000888/2024;88830609000139;Suporte;SUPORTE, MATERIAL PLÁSTICO RESISTENTE, APLICAÇÃO SUPORTE MONITOR LCD, ALTURA17 CM, LARGURA 27 CM, COR PRETA, FORMATO RETANGULAR, PROFUNDIDADE 33,5 CM;M;601992.0;Unidade;100.0;165.17;16517.0;110.0;11000.0;100.0;24662663000130;ALPACA COMERCIO E INDUSTRIA LTDA;2024-11-04 07:17:34;2024-11-28 16:47:31
45323005903692024;4532300590369202400001;83169623000110-1-000301/2024;83169623000110;Leitora código barra;Leitora Código Barra Tensão Alimentação: 4,5 VDC, Tipo: Manual Laser Sem Fio , Varredura: Feixe De Luz , Conexão: Bluetooth , Tipo Acionamento: Gatilho , Resolução: 1280 X 800 , Potência: 500 , Distância Leitura Contato: 254 CM, Tipo Leitura: Unidirecional;M;617529.0;Unidade;35.0;1590.99;55684.65;948.0;33180.0;35.0;08788055000110;NORTE TECNOLOGIA E SERVICOS LTDA;2024-08-09 07:01:05;2024-09-05 14:44:42
92692205901122024;9269220590112202400001;18431312000115-1-000095/2024;18431312000115;Coturno;Coturno Material: Couro E Lona , Tipo Sola: Extra Leve , Cor Lona: Preta , Cor Couro: Preta , Acabamento Superficial Couro: Extrabrilho;M;446381.0;Par ;127.0;440.51;55944.77;276.0;35052.0;127.0;47140401000100;L. E. COMERCIAL LTDA.;2024-03-26 07:10:04;2024-09-04 08:25:02
98766705900092024;9876670590009202400055;75771477000170-1-000026/2024;75771477000170;Clindamicina;Clindamicina Dosagem: 300 M;M;268436.0;Cápsula;10000.0;1.3746;13746.0;1.0999;10999.0;10000.0;01328535000159;CLASSMED - PRODUTOS HOSPITALARES LTDA;2024-01-12 07:03:45;2024-01-30 07:24:41
98351505900692024;9835150590069202400001;14043574000151-1-000544/2024;14043574000151;Água mineral natural;Água Mineral Natural Tipo: Sem Gás , Material Embalagem: Plástico , Tipo Embalagem: Descartável;M;445484.0;Copo 200,00 ML;2000.0;37.7;75400.0;33.6;67200.0;2000.0;10507760000143;GD MAGAZINE COMERCIO LTDA;2024-10-02 07:35:25;2024-11-04 10:54:17
98238105900602024;9823810590060202400001;10091536000113-1-000124/2024;10091536000113;Placa sinalizadora;Placa Sinalizadora Material: Chapa Aço , Largura: 54 CM, Altura: 53 CM, Características Adicionais: Acabamento Anti-Ferruginoso E Fosfatizante;M;383339.0;Unidade;375.0;180.0;67500.0;79.0;29625.0;375.0;19131319000184;ND GRAFICA DIGITAL LTDA;2024-09-25 07:08:04;2024-10-14 11:44:36
98922106900592024;9892210690059202400001;01067479000146-1-000086/2024;01067479000146;Scanner;Scanner Tipo: Mesa, Cromatismo: Monocromático, Tensão Alimentação: 110/220V, Profundidade Bit: 24, Resolução Digitalização Hardware: 1200 X 1200DPI, Resolução Digitalização Ótica: 600 X 600DPI, Resolução Digitalização Avançada: Ilimitada, Tipo Digitalização: Duplex, Tipo Drives: Twain, Wia, Isis, Sane, Interface: Usb 2.0, Tipo Alimentador Papel: Automático, Formato: A4, Carta, Ofício, Características Adicionais: Com Interface Para Conexão, Adaptadores: Usb, Resolução Digitalização: 1200 X 1200DPI, Resolução Ótica: 600DPI, Software: Básico De Digitalização, Compatibilidade: Windows 10;M;611695.0;Unidade  ;8.0;2756.0;22048.0;1642.61;13140.88;8.0;57292943000152;57.292.943 JEAN MARCELL DE ANDRADE GONTIJO;2024-10-23 15:24:06;2024-11-19 15:28:16
98570305901542024;9857030590154202400002;27165554000103-1-000429/2024;27165554000103;Revelador Radiológico;REVELADOR RADIOLÓGICO, TIPO SOLUÇÃO AQUOSA PRONTA P/ USO, APLICAÇÃO PARAPROCESSAMENTO MANUAL;M;405620.0;Frasco 475,00 ML;420.0;25.87;10865.4;7.48;3141.6;420.0;28857335000140;MAXIMA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA;2024-11-11 07:02:54;2024-12-17 11:20:05
98198106002902024;9819810600290202400001;08993917000146-1-000180/2024;08993917000146;Memória Ram aplicação: microcomputadores, capacidade memória: 16, padrão: udimm ddr4, 3200 mhz;Memória Ram aplicação: microcomputadores, capacidade memória: 16, padrão: udimm ddr4, 3200 mhz;M;618288.0;Unidade;4.0;209.99;839.96;209.99;839.96;4.0;22227890000101;ARLEY JACKSON GOMES DE MENESES CRUZ;2024-12-03 14:36:50;2024-12-03 14:39:50
98137306910262024;9813730691026202400001;07616162000106-1-000076/2024;07616162000106;Bloco receituário médico;Bloco Receituário Médico Material: Ofsete , Cor: Branca , Gramatura: 75 G/M2, Comprimento: 210 MM, Quantidade Folhas: 50 UN, Largura: 150 MM, Características Adicionais: Impressão Ofsete, Cor Preta, Uma Face;M;485443.0;Unidade  ;1000.0;30.99;30990.0;8.55;8550.0;1000.0;35374725000124;35.374.725 DOUGLAS RODRIGUES DA SILVA;2024-09-30 15:44:26;2024-10-08 09:14:18
45320405900022024;4532040590002202400006;06158455000116-1-000002/2024;06158455000116;Livro Didático;LIVRO DIDÁTICO, GRAU ANOS FINAIS DO ENSINO FUNDAMENTAL, DEFINIÇÃO COLEÇÃODISCIPLINAR, CONTEÚDO PROJETOS INTEGRADORES, FORMATO IMPRESSO;M;464257.0;Unidade;100.0;537.378;53737.8;525.3;52530.0;100.0;42809713000140;UNIVERSO DA LEITURA LTDA;2024-07-12 07:07:56;2024-10-03 13:12:36
98270506000452024;9827050600045202400001;12198693000158-1-000088/2024;12198693000158;Lamotrigina concentração: 50, forma farmacêutica: comprimido dispersível;Lamotrigina concentração: 50, forma farmacêutica: comprimido dispersível;M;602451.0;Comprimido;18.0;16.0;288.0;16.0;288.0;18.0;44339791000154;E. DA COSTA QUINTINO E CIA LTDA;2024-10-02 10:49:57;2024-10-02 10:52:57
