idCompra;numeroControlePNCP;anoCompraPncp;orgaoEntidadeCnpj;orgaoEntidadeRazaoSocial;orgaoEntidadeEsferaId;orgaoEntidadePoderId;unidadeOrgaoUfSigla;unidadeOrgaoMunicipioNome;unidadeOrgaoCodigoIbge;modalidadeNome;codigoModalidade;objetoCompra;valorTotalHomologado;dataPublicacaoPncp;dataAtualizacaoPncp
C-2024-000001;29477000000180-1-2024-000001;2024;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;M;executivo;RJ;Volta Redonda;3306305;Pregão Eletrônico;5;Aquisicao de material de expediente;90.00;2024-03-15;2024-03-15
C-2024-000002;29477000000180-1-2024-000002;2024;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;M;executivo;RJ;Volta Redonda;3306305;Dispensa de Licitação;8;Aquisicao de caneta esferografica azul;100.00;2024-04-01;2024-04-01
C-2024-000003;29477000000180-1-2024-000003;2024;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;M;executivo;RJ;Volta Redonda;3306305;Dispensa de Licitação;8;Aquisicao de caneta esferografica azul;100.00;2024-05-01;2024-05-01
C-2024-000004;29477000000180-1-2024-000004;2024;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;M;executivo;RJ;Volta Redonda;3306305;Dispensa de Licitação;8;Aquisicao de caneta esferografica azul;100.00;2024-06-01;2024-06-01
C-2024-000005;28521748000159-1-2024-000001;2024;28521748000159;PREFEITURA MUNICIPAL DE NITEROI;M;executivo;RJ;Niterói;3303302;Pregão Eletrônico;5;Aquisicao de material de limpeza;120.00;2024-03-20;2024-03-20
C-2024-000006;46137410000180-1-2024-000001;2024;46137410000180;PREFEITURA MUNICIPAL DE BAURU;M;executivo;SP;Bauru;3506003;Pregão Eletrônico;5;Aquisicao de material de expediente;80.00;2024-04-12;2024-04-12
98859905903202024;88830609000139-1-000888/2024;2024;88830609000139;MUNICIPIO DE CAXIAS DO SUL;M;N;RS;CAXIAS DO SUL;4305108;Pregão - Eletrônico;5;Fornecimento de suporte para monitor;11000.0;2024-11-04 07:17:34;2024-11-04 07:17:34
45323005903692024;83169623000110-1-000301/2024;2024;83169623000110;MUNICIPIO DE JOINVILLE;M;N;SC;JOINVILLE;4209102;Pregão - Eletrônico;5;Aquisição de leitores de código de barras a laser fixo.;33180.0;2024-08-09 07:01:05;2024-08-09 07:01:05
92692205901122024;18431312000115-1-000095/2024;2024;18431312000115;MUNICIPIO DE UBERLANDIA;M;N;MG;UBERLÂNDIA;3170206;Pregão - Eletrônico;5;Aquisição de coturnos, calçado de segurança tático que faz parte de material de proteção individual- EPI, contra riscos capazes de ameaçar a segurança e a saúde do trabalhador. Para atender aos servidores Agentes da Autoridade de Trânsito, lotados na Diretoria de Operações de Tráfego, vinculados a Secretaria Municipal de Trânsito e Transportes- Uberlândia- MG.;35052.0;2024-03-26 07:10:04;2024-03-26 07:10:04
98766705900092024;75771477000170-1-000026/2024;2024;75771477000170;MUNICIPIO DE LONDRINA;M;N;PR;LONDRINA;4113700;Pregão - Eletrônico;5;Registro de Preços para eventual fornecimento de medicamentos constantes na REMUME ( Relação Municipal de Medicamentos Essenciais).;10259546.3707;2024-01-12 07:03:45;2024-01-30 07:24:12
